Issue key,Issue id,Assignee,Status,Created,Labels,Labels,Labels,Labels,Issue Type,Resolved,Custom field (SLA дата наступления просрочки),Description,Custom field (description ),Custom field (Количество обращений),Custom field (Команда устраняющая проблему)
ADIRINC-1850,5794773,U_M25TF,NEW,31.10.2024 16:27,,,,,Дефект промсреды,,2024-12-12 00:00:00.0,"*Краткое описание проблемы, ее контекст, окружение:*  

 Предварительное условие:
 # Состав МП - image-2024-10-28-11-23-20-547.png
 # Состав КП  - image-2024-10-28-11-28-28-474.png
 # В настройках МП поле ""Максимальное расхождение между МП и КП, %"" = 5%

*Шаги воспроизведения:*

1. Перейти в сваггер [http://adir-sovetnik-portfolio-rebalance.adirconfig-247.gointra.net/swagger/index.html?urls.primaryName=Statuses%20v1]

2. Ввести treaty 6818980

*Ожидаемый результат:*

REBALANCE_ME

*Фактический результат:*

PORTFOLIO_OKAY",,,
ADIRINC-1848,5791491,U_M1FE1,На исправление,31.10.2024 12:03,,,,,Дефект промсреды,,2024-12-12 00:00:00.0,"На примере ГМК Норникель (RU0007288411) был сплит:

!image-2024-10-31-12-37-42-628.png!

После сплита некорректно отображается информация по дивидендам, тянется старая информация без учета сплита:

!image-2024-10-31-12-33-02-089.png!

!image-2024-10-31-12-39-00-653.png!

В свободных источника (cbonds) прежние выплаты указаны с учетом сплита:

!image-2024-10-31-12-31-31-319.png!

!image-2024-10-31-12-32-29-136.png!

 

 

 ",,2.0,
ADIRINC-1847,5779994,U_M1AYY,На исправление,29.10.2024 17:50,,,,,Дефект промсреды,,2024-12-10 00:00:00.0,"ГС 2753067 цб Норникель (GMKN RU0007288411)

Цена в декларации указана как 189,39, хотя должна быть проставлена 18939.
 Система каким-то образом делит сумму на все бумаги, включая те, которые были начислены клиенту в результате сплита.
 Сейчас не совсем понятно, так происходит только в случае, если операция по добавленнию по сплиту 198 бумаг стоит раньше депо-перевода или это общий случай.
 !image-2024-10-29-17-37-53-999.png!
 В результате сейчас по клиенту имеем УЦ = 7,86 руб., хотя коридор УЦ по этой бумаге 170-200 руб.",,,
ADIRINC-1846,5764662,U_M27PA,На исправление,28.10.2024 10:27,,,,,Дефект промсреды,,2024-12-09 00:00:00.0,"23.10.2024 с 14:25  началась утилизация памяти сервиса rucabinet-frontandback что привело к его падению. 
!image-2024-10-28-09-52-21-208.png!",,,НТФ (ЛК)
ADIRINC-1843,5757132,U_M0SLM,На исправление,25.10.2024 13:22,,,,,Дефект промсреды,,2024-12-06 00:00:00.0,"Наблюдается фон ошибок сервиса adir-k2db-post-trade-limits-utilisation
!image-2024-10-25-13-20-07-580.png!

[http://adirelkprod.alfadirect.ru/goto/8b3be9434567600ca829f61d49dc0f74]


{code:java}
""System.Exception: Ошибка во время записи в базу. ХП: [kafka].[import_limit_utilisation_ts_a], параметры: {\""RemoveUnused\"":true,\""ParameterNames\"":[\""IdObject\"",\""IdRazdelType\"",\""AdmShortLimitUtil\"",\""Return Value\""]}\r\n ---> Microsoft.Data.SqlClient.SqlException (0x80131904): Cannot insert the value NULL into column '[paper_id]', table '[mrgn].[limit_utilisation_ts]'; column does not allow nulls. INSERT fails.\r\n   at Microsoft.Data.SqlClient.SqlConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)\r\n   at Microsoft.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj, Boolean callerHasConnectionLock, Boolean asyncClose)\r\n   at Microsoft.Data.SqlClient.TdsParser.TryRun(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj, Boolean& dataReady)\r\n   at Microsoft.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds, RunBehavior runBehavior, String resetOptionsString, Boolean isInternal, Boolean forDescribeParameterEncryption, Boolean shouldCacheForAlwaysEncrypted)\r\n   at Microsoft.Data.SqlClient.SqlCommand.RunExecuteReaderTds(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean isAsync, Int32 timeout, Task& task, Boolean asyncWrite, Boolean inRetry, SqlDataReader ds, Boolean describeParameterEncryptionRequest)\r\n   at Microsoft.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, TaskCompletionSource`1 completion, Int32 timeout, Task& task, Boolean& usedCache, Boolean asyncWrite, Boolean inRetry, String method)\r\n   at Microsoft.Data.SqlClient.SqlCommand.InternalExecuteNonQuery(TaskCompletionSource`1 completion, Boolean sendToPipe, Int32 timeout, Boolean& usedCache, Boolean asyncWrite, Boolean inRetry, String methodName)\r\n   at Microsoft.Data.SqlClient.SqlCommand.ExecuteNonQuery()\r\n   at AlfaDirect.DatabaseUtils.Logged.LoggedDbCommand.ExecuteNonQuery()\r\n   at System.Data.Common.DbCommand.ExecuteNonQueryAsync(CancellationToken cancellationToken)\r\n--- End of stack trace from previous location ---\r\n   at Dapper.SqlMapper.ExecuteImplAsync(IDbConnection cnn, CommandDefinition command, Object param) in /_/Dapper/SqlMapper.Async.cs:line 654\r\n   at DataAccess.Contexts.DbContext.SaveAsync(Dictionary`2 parameters, OperationType operationType) in C:\\BuildAgent\\work\\c8742b0c56bd3ce6\\DataAccess\\Contexts\\DbContext.cs:line 60\r\n   at DataAccess.Contexts.DbContext.SaveAsync(Dictionary`2 parameters, OperationType operationType) in C:\\BuildAgent\\work\\c8742b0c56bd3ce6\\DataAccess\\Contexts\\DbContext.cs:line 63\r\nClientConnectionId:9ae85831-7fe3-402b-b3da-db7daf6320e6\r\nError Number:515,State:0,Class:16\r\n   --- End of inner exception stack trace ---\r\n   at DataAccess.Contexts.DbContext.SaveAsync(Dictionary`2 parameters, OperationType operationType) in C:\\BuildAgent\\work\\c8742b0c56bd3ce6\\DataAccess\\Contexts\\DbContext.cs:line 71\r\n   at Service.DataTransferService.<>c__DisplayClass10_0.<<TransferAsync>b__0>d.MoveNext() in C:\\BuildAgent\\work\\c8742b0c56bd3ce6\\Service\\DataTransferService.cs:line 80\r\n--- End of stack trace from previous location ---\r\n   at Polly.AsyncPolicy.<>c__DisplayClass40_0.<<ImplementationAsync>b__0>d.MoveNext()\r\n--- End of stack trace from previous location ---\r\n   at Polly.Retry.AsyncRetryEngine.ImplementationAsync[TResult](Func`3 action, Context context, CancellationToken cancellationToken, ExceptionPredicates shouldRetryExceptionPredicates, ResultPredicates`1 shouldRetryResultPredicates, Func`5 onRetryAsync, Int32 permittedRetryCount, IEnumerable`1 sleepDurationsEnumerable, Func`4 sleepDurationProvider, Boolean continueOnCapturedContext)\r\n   at Polly.AsyncPolicy.ExecuteAsync(Func`3 action, Context context, CancellationToken cancellationToken, Boolean continueOnCapturedContext)\r\n   at Service.DataTransferService.TransferAsync(CancellationToken token) in C:\\BuildAgent\\work\\c8742b0c56bd3ce6\\Service\\DataTransferService.cs:line 79"",    
{code}


!image-2024-10-25-13-21-16-921.png!

Связанная задача *https://jira.moscow.alfaintra.net/browse/ADIRANALYT-14149*",,,
ADIRINC-1842,5755198,U_M1W4D,Закрыт,25.10.2024 11:17,,,,,Дефект промсреды,25.10.2024 11:18,2024-11-05 00:00:00.0,"Некорректные значения в форме принудительного закрытия по срочному рынку

[https://rc.alfa-bank.net/channel/adir-avarii?msg=LXBfgxfHeGYu84vtc]

перестали писаться знгачения портфолио кост
SELECT * from adfront.ts.MarginRequirements where PortfolioCost != 0 AND idRazdelGroup = 2",,,Сатурн 2
ADIRINC-1840,5744206,U_M0SLM,На исправление,23.10.2024 20:51,,,,,Дефект промсреды,,2024-12-05 00:00:00.0,"Пример: 4348717 (уже поправили)
 Клиента переводят с статуса заблокирован - в разблокирован, после чего права необходимые не полноценно транслируются.
{code:java}
SELECT sub.SubAccAllowLevel, acc.AccAllowLevel , * 
FROM ADFront.dbo.SubAccounts sub  
    left join ADBack.dbo.accounts acc on sub.IdAccount=acc.IdAccount  
    left join hell.dbo.accounts b on sub.idaccount=b.treaty 
WHERE 
    sub.SubAccAllowLevel=128 
    and acc.AccAllowLevel=159 
    and CodeTariffPlanFond not in ('Microinvestment') 
    and b.disable_orders='N' 
    and b.tp_code not in ('autofollow2','autofollow3','autofollow4','autofollow1','ZERO','Microinvestment') 
    and DateOfDeath is null and b.status_type not in ('W','B'){code}
 ",,,
ADIRINC-1839,5739237,U_M177U,На исправление,23.10.2024 10:50,,,,,Дефект промсреды,,2024-12-04 00:00:00.0,"У клиентов, в разделе ""Портфель"" возникает плашка ""Возникла ошибка при отображении некоторых активов""
 В логах ошибки не обнаружили.
проверяли инструменты, ошибки не выявили.

 такое впечатление, что данная плашка зашита внутри МТ и срабатывает, когда не получает некое поле.
 Был создан тред с целью найти причину:
 [https://rc.alfa-bank.net/channel/a-inv-mt?msg=dy3RtQ7DwNdQqHmA5]
 В рамках разбора было выяснено, что:
 ""подобная проблема уже имела место на обеих платформах, вероятнее всего ошибка в данных, которые приходят по бинарному протоколу""

По данной проблеме был зведен тикет:
 https://jira.moscow.alfaintra.net/browse/MTINC-60

!image-2024-10-23-10-46-55-619.png!",,46.0,
ADIRINC-1838,5735080,U_M25TF,На исправление,22.10.2024 15:08,,,,,Дефект промсреды,,2025-01-15 00:00:00.0,"ГС 159946, при переходе из раздела Портфель в ЦФА происходит редирект на авторизацию (указать карту или обратиться в ТЦ), сквозная авторизация не выполняется.

 

Видео, обсуждение и временное решение тут - [https://rc.alfa-bank.net/channel/a-inv-mt?msg=uEACWbUgo2cD75oVG]

 ",,12.0,
ADIRINC-1837,5729309,U_M1P85,Принят к исправлению,21.10.2024 19:00,,,,,Дефект промсреды,,2024-12-03 00:00:00.0,"21.10.2024 словили аварию, с трансляцией балансов клиентов.

Наблюдали следующую картину:
 # Начали расти расхождения ""*Найдено расхождений между post_trade.hell.balances и hell.dbo.balance: 1890  ""*
 #  ** Сервис трансляции в кафку -ок
 # Сервис трансляции из кафки в БД - таймауты в логах при попытке записи в БД post_trade. Microsoft.Data.SqlClient.SqlException (0x80131904): Execution Timeout Expired. The timeout period elapsed prior to completion of the operation or the server is not responding. ---> System.ComponentModel.Win32Exception (258): The wait operation timed out. !image-2024-10-21-18-56-18-054.png!

В кафке лаг на очереди достигал 25000 сообщений невычитанных

(на скрине уже после переезда на резервный сервер очередь рассосалась)

!image-2024-10-21-18-59-12-295.png!

 

5. Каких либо ручных вмешательств или инсертов не выявлено в момент устранения аварий.

Помог переезд на резервные сервер БД post_trade с adir-p-db-89 на adir-p-db-88

Дополнительно ошибки в MSSQL которые выглядели подозрительно  https://rc.alfa-bank.net/channel/adir-avarii?msg=k6YehJvkTdWzwZhZD",,,
ADIRINC-1836,5728385,U_M1W4D,Закрыт,21.10.2024 16:23,,,,,Дефект промсреды,21.10.2024 16:33,2024-12-02 00:00:00.0,"Найдена неверная переменная в сборке после релиза

отображались некорректные котировки в Веб терминале

была задача на раскатку https://jira.moscow.alfaintra.net/browse/ITINVEST-7750
[https://rc.alfa-bank.net/channel/duty-support-invest?msg=HTzfffGKHvMpKwEft]
накатывалась версия 1.4.120-AIPRO-1.8.3 08:05",,,
ADIRINC-1835,5719457,U_M0C88,На исправление,19.10.2024 13:04,,,,,Дефект промсреды,,2024-12-02 00:00:00.0,"В настоящее время возникают проблемы у клиентов при попытке открытия инвесткопилки.

!error.png!

Пример ошибки в логах:

[https://ibank/pipelog/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:'2024-10-17T01:23:00.000Z',to:'2024-10-17T01:24:00.000Z'))&_a=(columns:!(message),filters:!(('$state':(store:appState),meta:(alias:!n,disabled:!f,index:'0b47b040-75a3-11ed-a9c5-974feac943d0',key:cus,negate:!f,params:(query:BDLDIB),type:phrase),query:(match_phrase:(cus:BDLDIB)))),index:'0b47b040-75a3-11ed-a9c5-974feac943d0',interval:auto,query:(language:kuery,query:''),sort:!(!(start_Time,desc)))]

В EQ установлен риск:

!image-2024-10-19-13-03-17-156.png!

Похожие проблемы возникают при указанном месте рождения клиента Крым, Феодосия Украина",,,
ADIRINC-1834,5718502,U_M25TF,На исправление,19.10.2024 09:58,,,,,Дефект промсреды,,2024-12-02 00:00:00.0,"{color:#172b4d}На примере клиента Власов Вячеслав Владимирович BFILKO ГС 7883960 логин vlasov_vv46, при в ходе в ВТ у клиента отображается чужой логин и имя:{color}

{color:#172b4d}!image-2024-10-19-10-01-06-219.png!{color}

{color:#172b4d}Логин который отображается у клиента принадлежит пререгу Филько Богдан Юрьевич BDR0A6  логин bfilko.{color}

{color:#172b4d}Т.к. логин пререга Филько Богдан Юрьевич равняется его пин, и в данном случае совпадает с пином клиента Власов Вячеслав Владимирович, то система тянет клиенту иформацию по пререгу.{color}

{color:#172b4d}!image-2024-10-19-10-03-24-517.png!{color}

Было обсуждение данной проблемы в треде: [https://rc.alfa-bank.net/channel/adir_duty?msg=FqSgNjeK9CnXJtLuP] , но к решению так и не пришли.

 *+_Требуется устранить ошибку и исключить повторения кейса в будущем по всем клиентам._+*

 ",,1.0,
ADIRINC-1833,5718570,U_M2902,На исправление,19.10.2024 09:23,,,,,Дефект промсреды,,2024-12-02 00:00:00.0,"В приложении Альфа-Инвестиции в вкладке портфель процент доходности отображается некорректно.
 872824 р это ~ 8.9 % , а не  2.6 %

Pin клиента AQJ73N

Версия приложения андроид 2.32.0

!image-2024-10-19-09-18-46-294.png|width=309,height=683!

При этом сервис позишн кипинг отдает % корректно 

!image-2024-10-19-09-22-15-836.png|width=1264,height=634!",,2.0,Montblanc
